store,brand,doc_count
& Other Stories,& Other Stories,7504
&OtherStories DE,& Other Stories,7516
14 Day Manicure,14 Day Manicure,420
14 Day Manicure,14DayM,60
14 Day Manicure,Custom Bundle,10
14 Day Manicure,Easy Bundle,8
7879,7879,5390
7879,7879co,226
AllSaints,AllSaints,9278
AllSaints,Plain,1
Amazon,PROSTEEL-UK,1626
Amazon,TP-Link UK,583
Amazon,ANYCUBIC UK,322
Amazon,Odoland_AV-UK,233
Amazon,LIQQY UK,209
Amazon,3W-UK,203
Amazon,Outdoor Shaping UK,156
Amazon,Reolink UK,139
Amazon,JustWears,136
Amazon,MOES_UK,116
Amazon,INIU-UK,99
Amazon,Grand patio- UK,94
Amazon,VLANDO Direct UK,84
Amazon,zosi-uk,81
Amazon,Fida UK,75
Amazon,Nelko.uk,70
Amazon,Polono.uk,70
Amazon,Intra-FIT UK,69
Amazon,DANCINGBOAR.UK,67
Amazon,GCurtain_UK,62
Amazon,MHW-3BOMBER UK,61
Amazon,Waterdrop-UK,60
Amazon,AFERIY UK,56
Amazon,PenghaiYunfei UK,51
Amazon,EIGSHOW UK,50
Amazon,UK-soundcore,50
Amazon,HiiPeak UK,49
Amazon,v AV Access-UK,48
Amazon,Renpho - UK,47
Amazon,poposoap-uk,46
Amazon,Maromamix UK,45
Amazon,Lefant UK(ZYG),42
Amazon,LETOUR UK,41
Amazon,Bob and Brad UK,35
Amazon,Merach UK,35
Amazon,SHOKZ UK,35
Amazon,AGM UK - Rugged Device,33
Amazon,HIKMICRO UK,33
Amazon,Relax Field-UK,33
Amazon,RingConn-UK,32
Amazon,LEVOIT/COSOR/Etekcity_UK,31
Amazon,ARNSSIEN-UK,30
Amazon,Hoover_UK,28
Amazon,Morento.uk,28
Amazon,FengfeiyanUK,27
Amazon,Jackery UK,27
Amazon,Aionly uk,25
Amazon,INNOVV-AMZ-UK,25
Amazon,Birdfy UK,22
Amazon,Retysaz UK,22
Amazon,Orionstar UK,21
Amazon,Tilswall UK,20
Amazon,WOLFBOX-UK,20
Amazon,ZITA ELEMENT_UK,20
Amazon,bsqipsd  uk,18
Amazon,Qicheng-UK,16
Amazon,Roborock Amazon UK,16
Amazon,Sunivaca-UK,14
Amazon,BOTSLAB Direct UK,13
Amazon,UK-eufy Security,13
Amazon,amaran-uk,13
Amazon,LiArty UK,12
Amazon,REDTIGER-UK,12
Amazon,RUMMY AMZ,12
Amazon,alilo-Amazon-UK,12
Amazon,BCAN UK,11
Amazon,TOCONFFON-UK,10
Amazon,Kintiwe UK,9
Amazon,UK-Anker,9
Amazon,XSAXLYX  UK,9
Amazon,UK-eufy,8
Amazon,MAONO-UK,7
Amazon,OHO SUNSHINE UK,7
Amazon,Vantrue-UK,7
Amazon,AOSU UK,6
Amazon,Homvana-UK,6
Amazon,LAD-UK Comfee,6
Amazon,NTRH,6
Amazon,Ordro UK,6
Amazon,Rhyfell UK,6
Amazon,Sportsroyals UK,6
Amazon,HUPEJOS-UK,5
Amazon,YOSUDA UK,5
Amazon,Dryhsip UK,4
Amazon,MomMed UK,4
Amazon,Operan.uk,4
Amazon,RedThunder UK,4
Amazon,SOUNDPEATS UK,4
Amazon,AEOCKY-UK,3
Amazon,FLYBIRD UK,3
Amazon,HOUAN,3
Amazon,Jovire UK,3
Amazon,Mr.Gorbar-UK,3
Amazon,SITREMEN,3
Amazon,VICTPOPU,3
Amazon,Zedify,3
Amazon,omadoto uk,3
Amazon,Ezbasics.uk,2
Amazon,Jovi-mindly UK Staion,2
Amazon,SHUSANE-UK,2
Amazon,SOUYIE-UK,2
Amazon,AK KYC_UK,1
Amazon,Cololight Amazon UK,1
Amazon,EVARY,1
Amazon,TAKENJOY-UK,1
Amazon,Umitec UK,1
Amazon,kinstone UK,1
Ann Summers,Ann Summers,6992
Ann Summers,KBX,1118
Ann Summers,Sloggi,335
Ann Summers,Kat the Label,326
Ann Summers,Curvy Kate,239
Ann Summers,Lemonade Dolls,232
