store,brand,doc_count
Frasers,adidas,24722
Frasers,Nike,19775
Frasers,Boss,18520
Frasers,Under Armour,10102
Frasers,Puma,10100
Frasers,Skechers,8477
Frasers,Regatta,8076
Frasers,Hugo,5860
Frasers,Lacoste,5539
Frasers,Polo Ralph Lauren,5283
Flannels,Boss,12463
Flannels,Lacoste,3453
Flannels,Hugo,2928
Flannels,Polo Ralph Lauren,2756
Flannels,MONCLER,2242
Flannels,Tommy Hilfiger,2230
Flannels,OFF WHITE,2094
Flannels,STONE ISLAND,1898
Flannels,Barbour,1855
Flannels,Ted Baker,1621
Sephora,Sephora Collection,767
Sephora,Fenty Beauty,497
Sephora,NARS Cosmetics,424
Sephora,bareMinerals,347
Sephora,Lancome,340
Sephora,Laura Mercier,319
Sephora,Benefit,268
Sephora,Dolce and Gabbana,246
Sephora,Yves Saint Laurent,238
Sephora,ARMANI,166
Currys,Samsung,607
Currys,Apple,421
Currys,HP,396
Currys,Russell Hobbs,325
Currys,Bosch,307
Currys,Hisense,300
Currys,Logik,296
Currys,Salter,283
Currys,Beko,256
Currys,Asus,224
Harvey Nichols,Skims,1596
Harvey Nichols,Moncler,1323
Harvey Nichols,Polo Ralph Lauren,1169
Harvey Nichols,Chloe,846
Harvey Nichols,DIOR,818
Harvey Nichols,Toteme,794
Harvey Nichols,Saint Laurent,745
Harvey Nichols,Paige,675
Harvey Nichols,Tom Ford,667
Harvey Nichols,Joseph,614
Fenwick,Sisley,268
Fenwick,Laura Mercier,216
Fenwick,Shiseido,191
Fenwick,Chantecaille,182
Fenwick,Lauren Ralph Lauren,144
Fenwick,Dune London,136
Fenwick,Tom Ford,133
Fenwick,Aveda,131
Fenwick,Molton Brown,118
Fenwick,Polo Ralph Lauren,88
Marks & Spencer,M&S,1607
Marks & Spencer,Monsoon,191
Marks & Spencer,White Stuff,158
Marks & Spencer,Autograph,142
Marks & Spencer,Dune London,128
Marks & Spencer,Finery London,108
Marks & Spencer,FatFace,88
Marks & Spencer,Seasalt Cornwall,70
Marks & Spencer,Pour Moi,69
Marks & Spencer,Joules,59
Jacamo,Jacamo,9102
Jacamo,Polo Ralph Lauren,2402
Jacamo,jack & jones,1658
Jacamo,Union,1400
Jacamo,Boss,1260
Jacamo,Skopes,1129
Jacamo,D555,972
Jacamo,Adidas,824
Jacamo,Under Armour,655
Jacamo,Tog 24,644
JD Williams,JD Williams,33252
JD Williams,Simply Be,14796
JD Williams,Jacamo,14412
JD Williams,Glamorise,6415
JD Williams,Pretty Secrets,6012
JD Williams,Julipa,4634
JD Williams,MAGISCULPT,4427
JD Williams,Panache,3864
JD Williams,Monsoon,3449
JD Williams,Miss Mary of Sweden,3441
Simply Be,Simply Be,26096
Simply Be,Glamorise,6415
Simply Be,Pretty Secrets,5960
Simply Be,MAGISCULPT,4298
Simply Be,JD Williams,4018
Simply Be,Panache,3833
Simply Be,Monsoon,3456
Simply Be,Curvy Kate,2873
Simply Be,Figleaves,2826
Simply Be,Joanna Hope,2595
QVC,Skechers,503
QVC,YouGarden,502
QVC,Kim & Co,495
QVC,Ruth Langsford,470
QVC,Denim & Co.,336
QVC,Thompson & Morgan,319
QVC,Plants 2 Gardens,314
QVC,Seasalt Cornwall,264
QVC,White Stuff,261
QVC,MONSOON,244
Harts Of Stur,Arthur Price,1423
Harts Of Stur,Le Creuset,926
Harts Of Stur,Judge,656
Harts Of Stur,Wrendale Designs,579
Harts Of Stur,Denby,574
Harts Of Stur,Joules,501
Harts Of Stur,Seasalt,379
Harts Of Stur,Stellar,378
Harts Of Stur,White Stuff,366
Harts Of Stur,Villeroy & Boch,354
Pets at Home,Pets at Home,604
Pets at Home,Royal Canin,261
Pets at Home,Wainwright's,206
Pets at Home,Hill's Prescription Diet,165
Pets at Home,Hill's Science Plan,141
Pets at Home,3 Peaks,115
Pets at Home,James Wellbeloved,106
Pets at Home,Ferplast,96
Pets at Home,Kong,91
Pets at Home,Halti,83
Lego,LEGO,28
Nobody's Child,Nobody's Child,4786
Uniqlo,Uniqlo,34067
Arket,ARKET,3541
Brora,Brora,1456
Aspinal of London,Aspinal of London,101
Asda George,George,11485
BrandAlley,Mango,2598
BrandAlley,Camille,1749
BrandAlley,Levi's,1534
BrandAlley,Where's that From,1500
BrandAlley,Gant,970
BrandAlley,Vilebrequin,843
BrandAlley,WHISTLES,842
BrandAlley,Regatta,778
BrandAlley,Little Mistress,616
BrandAlley,U.S. Polo Assn.,483
TK Maxx,Phase Eight,512
TK Maxx,Replay,157
TK Maxx,US Polo Assn,153
TK Maxx,Under Armour,150
TK Maxx,unbranded,146
TK Maxx,Max Studio,129
TK Maxx,P.E Nation,110
TK Maxx,Tamara H,107
TK Maxx,Juicy Couture,97
TK Maxx,Lotus,97
