retailer_id,retailer_name,network
52657,14 Day Manicure,LS
26105,5 Pound Stuff,AW
53577,7879,LS
12590,Acer,AW
12591,Acer DE,AWEU
77022,Adidas,AW
47799,Alas Silk,LSEU
7035,AliExpress,AW
303120,allbeauty.com,WG
45532,AllSaints,LS
15699,Ameliorate UK,AW
31215,Ann Summers,AW
37257,Anthropologie,LS
17151,Aosom UK,AW
5837,Appleyard Flowers,AW
1011l6451,ARKET,PZ
1011l6432,Arket DE,PZ
45769,ARTAH,AW
6400033,Asda George,CJ
50405,Aspinal of London,LS
55805,Australian Bodycare UK,AW
19048,Avon Cosmetics,AW
19274,BadRhino,AW
27874,B Couture London,AW
15526,Beauty Bay,AW
988,Beauty Expert,AW
304358,Beauty Scent,WG
5726,Beauty Works Online,AW
6321,Bedeck Home,AW
7225,Benefit Cosmetics UK,AW
19319,Best Direct,AW
41544,Billard-lissy DE,AWEU
18260,BioCare,AW
74186,Blake Mill,AW
21358,Blindsbypost,AW
20234,Blitzhandel24 UK,AW
6756,Bluebella,AW
7009,BoohooMan.com,AW
17058,BoohooMan DE,AWEU
2041,Boots.com,AW
5074539,Bose,CJ
50529,Boucleme,LS
3454,Boux Avenue,AW
26387,Boxraw,AW
5221712,BrandAlley,CJ
48313,Branded Beauty Affiliate Programme,AW
25779,Braun UK,AW
17043,Brora,AW
1052,Burton,AW
273,Buyagift.co.uk,AW
736,Cadbury Gifts Direct,AW
58035,Cancer Care Parcel,AW
1101l6403,Cazaar Fancy Dress,PZ
13795,Charles & Keith,IR
350,Chocolate Trading Company,AW
17967,Christophe Robin,AW
50834,Christow,LS
11006479,City Plumbing,PZ
5387,Claire's,AW
2515,Clarks,AW
37401,Clinique,LS
49403,Cocunat UK,AW
4318,Coggles,AW
10116460,Cole & Mason,PZ
25052,Collagen Superdose,AW
22745,Complete Care Shop,AW
5769,Conrad Electronic,AW
7826,Converse,AW
29307,Cookology,AW
47832,Cos,LS
46463,COS DE,LSEU
36533,Cowshed,LS
5568,Crew Clothing,AW
8089,Crocs,IR
1599,Currys,AW
5473,Damart,AW
32967,David Musson Fencing,AW
50574,Daylesford Organic,LS
279785,Db UK,WG
22735,Debenhams,AW
47745,Decree,LS
25781,Delonghi,AW
34051,Devon Hampers,AW
31401,Diamondsmile DE,AWEU
4965120,Disney,CJ
25647,Doctor Mi! medical skincare DE,AWEU
25263,Donnerberg,AW
1134,Dorothy Perkins,AW
23608,dotty about paper,AW
41462,Dr Martens,LS
21553,DR.VEGAN,AW
12009,Dulux,AW
3769,Dunelm,AW
11420,Dyson,IR
6396,Easylife Limited,AW
31844,Ecco DACH,AWEU
7576,Ego Shoes,AW
23391,End Clothing,IR
7684,Eqvvs,AW
287575,Ernest Jones,WG
24314,Eskute Ebikes,AW
11310,ESPA Skincare UK,AW
6091,Etsy,AW
24885,EWANTO DE,AWEU
23108,Faace,AW
46088,Face the Future,LS
26759,FalseEyelashes.co.uk,AW
50651,Farlows,LS
24542,Farrar and Tanner,AW
18465,Fashion Eyewear,AW
53253,FatFace,LS
1101l6495,Fenwick,PZ
84359,Filorga,AW
45595,Fishing, Tackle & Bait,AW
37323,FitFlop Ltd,LS
1011l6018,Flannels,PZ
44463,Flapjackery,AW
43744,Flowerbx,LS
1100l6179,Footasylum,PZ
15594,Foot Locker UK,AW
49343,Fossil,LS
49342,Fossil DE,LSEU
303160,Fragrance Direct,WG
1100l5964,Frasers,PZ
43247,Free People UK,LS
30617,Funko,AW
10994,Furniture@work,AW
50027,Gamivo - UK,AW
47712,Gandys,LS
53076,Gap,LS
18391,Garden Pharmacy,AW
2526,ghd,AW
15731,Giorgio Armani Beauty UK,AW
3749,Glossybox,AW
5578,Go Groopie,AW
2174,Goldsmiths,AW
22069,Grade Mobile,AW
45046,Grenson,LS
6929,Grow Gorgeous UK,AW
1205,Hamleys,AW
21511,Hanro DE,AWEU
36666,Harrods,LS
32187,Harts Of Stur,AW
1101l6310,Harvey Nichols,PZ
11803,Heal's,WG
15916,Health and Her,AW
37928,Heimwerkertools DE,AWEU
19788,Hervia,AW
38595,Hobbs Ltd,LS
45463,Home Fitness Code - DE,AWEU
28529,Honor UK,AW
287585,H Samuel,WG
1101l6181,Huda Beauty,PZ
10870,Hunkemoller UK,AW
13093,Hype,WG
25773,Hyperice DE,AWEU
11577,illamasqua UK,AW
21070,Impericon UK,AW
19290,Inscripture Ltd,AW
20674,INWARIA DE,AWEU
40522,iSinwheel,AW
3026,Jacamo,AW
